Karst Landscape Evolution and Speleogenesis

KarstModel.inputdata() is over.

KarstModel.generate_fracture() is over

KarstModel.ConnectedFracture() is over

用时(s): 2

 numit original   2  qqbudget original 1.04341e-16
 numit01   2 errmax01  8.97153e-12  qqbudget01  1.66533e-16
 numit01   2 errmax01  1.57352e-12  qqbudget01  -1.38778e-16
 numit01   2 errmax01  4.29838e-12  qqbudget01  5.55112e-17
 numit01   2 errmax01  2.32917e-12  qqbudget01  -2.77556e-17
 numit01   2 errmax01  4.76435e-12  qqbudget01  -8.32667e-17
 numit01   2 errmax01  5.13927e-12  qqbudget01  -1.94289e-16
 numit01   2 errmax01  2.92148e-12  qqbudget01  1.38778e-16
 numit01   2 errmax01  2.81891e-12  qqbudget01  -1.38778e-16
 numit01   2 errmax01  4.94589e-12  qqbudget01  1.66533e-16
 numit01   2 errmax01  5.11127e-12  qqbudget01  2.22045e-16
 numit01   2 errmax01  5.31683e-12  qqbudget01  -1.11022e-16
  numitouter  3   wettest01   48   wettest02  53
 layernodei   53
 numit01   2 errmax01  3.53294e-13  qqbudget01  2.22045e-16
 numit01   1 errmax01  1.23197e-13  qqbudget01  2.22045e-16
 numit01   2 errmax01  3.13031e-12  qqbudget01  8.32667e-17
 numit01   2 errmax01  5.24485e-13  qqbudget01  1.66533e-16
 numit01   2 errmax01  2.70333e-13  qqbudget01  -5.55112e-17
 numit01   2 errmax01  1.66644e-12  qqbudget01  1.38778e-16
 numit01   2 errmax01  2.97624e-12  qqbudget01  -1.38778e-16
 numit01   1 errmax01  1.33442e-13  qqbudget01  -1.38778e-16
 numit01   2 errmax01  1.03618e-12  qqbudget01  1.66533e-16
 numit01   2 errmax01  8.41346e-13  qqbudget01  -1.11022e-16
 numit01   2 errmax01  1.55063e-12  qqbudget01  -1.11022e-16
 numit01   2 errmax01  3.33701e-12  qqbudget01  3.05311e-16
 numit01   2 errmax01  4.45781e-13  qqbudget01  5.55112e-17
 numit01   2 errmax01  1.32294e-12  qqbudget01  8.32667e-17
 numit01   2 errmax01  2.06309e-12  qqbudget01  -1.94289e-16
 numit01   2 errmax01  2.16752e-13  qqbudget01  2.498e-16
 numit01   1 errmax01  1.28166e-13  qqbudget01  2.498e-16
 numit01   2 errmax01  1.98522e-12  qqbudget01  -2.77556e-17
 numit01   2 errmax01  2.50833e-12  qqbudget01  2.22045e-16
 numit01   2 errmax01  2.66809e-13  qqbudget01  -1.66533e-16
 numit01   2 errmax01  2.00784e-12  qqbudget01  1.94289e-16
 numit01   2 errmax01  1.7367e-13  qqbudget01  -1.94289e-16
 numit01   2 errmax01  1.39129e-12  qqbudget01  2.22045e-16
 numit01   2 errmax01  1.19658e-13  qqbudget01  1.66533e-16
 numit01   2 errmax01  3.63121e-13  qqbudget01  1.38778e-16
 numit01   2 errmax01  1.63642e-13  qqbudget01  -8.32667e-17
 numit01   2 errmax01  1.33112e-13  qqbudget01  0
 numit01   2 errmax01  2.08877e-12  qqbudget01  -2.22045e-16
 numit01   2 errmax01  2.37552e-12  qqbudget01  0
 numit01   2 errmax01  1.68591e-12  qqbudget01  -8.32667e-17
 numit01   2 errmax01  1.49253e-12  qqbudget01  0
 numit01   2 errmax01  1.57967e-12  qqbudget01  1.66533e-16
 numit01   2 errmax01  2.48456e-12  qqbudget01  -1.66533e-16
 numit01   2 errmax01  1.16931e-12  qqbudget01  -1.38778e-16
 numit01   2 errmax01  3.51846e-12  qqbudget01  5.55112e-17
 numit01   2 errmax01  1.17415e-12  qqbudget01  1.66533e-16
 numit01   1 errmax01  1.2711e-13  qqbudget01  1.66533e-16
 numit01   2 errmax01  2.43822e-12  qqbudget01  1.11022e-16
 numit01   2 errmax01  2.33292e-12  qqbudget01  -2.77556e-17
 numit01   2 errmax01  2.61541e-12  qqbudget01  1.11022e-16
 numit01   2 errmax01  5.10958e-13  qqbudget01  0
 numit01   2 errmax01  1.84744e-12  qqbudget01  5.55112e-17
 numit01   2 errmax01  1.67189e-12  qqbudget01  -1.38778e-16
 numit01   2 errmax01  9.78165e-13  qqbudget01  -1.94289e-16
 numit01   2 errmax01  1.27658e-12  qqbudget01  -1.66533e-16
 numit01   2 errmax01  5.69144e-12  qqbudget01  1.11022e-16
 numit01   2 errmax01  6.23552e-12  qqbudget01  1.38778e-16
 numit01   2 errmax01  3.16895e-12  qqbudget01  -1.66533e-16
 numit02   1 errmax02  1.12482e-13  qqbudget02  -1.20882e-16
 numit01   2 errmax01  1.47564e-11  qqbudget01  -1.38778e-16
 numit01   2 errmax01  4.05685e-12  qqbudget01  2.22045e-16
 numit01   2 errmax01  1.48038e-11  qqbudget01  5.55112e-17
 numit01   2 errmax01  7.15611e-12  qqbudget01  -1.66533e-16
 numit01   2 errmax01  2.44864e-12  qqbudget01  2.498e-16
  numitouter  4   wettest01   52   wettest02  55
 layernodei   55
 numit01   2 errmax01  1.16771e-13  qqbudget01  -8.32667e-17
 numit01   2 errmax01  8.48681e-12  qqbudget01  1.11022e-16
 numit01   2 errmax01  2.01925e-11  qqbudget01  -1.38778e-16
 numit01   2 errmax01  2.35029e-13  qqbudget01  -5.55112e-17
 numit01   2 errmax01  6.01843e-13  qqbudget01  -1.66533e-16
 numit01   2 errmax01  1.48649e-12  qqbudget01  1.94289e-16
 numit01   2 errmax01  1.78075e-12  qqbudget01  -1.38778e-16
 numit01   2 errmax01  1.88498e-12  qqbudget01  1.94289e-16
 numit01   2 errmax01  2.88199e-12  qqbudget01  -8.32667e-17
 numit01   2 errmax01  2.9731e-13  qqbudget01  5.55112e-17
 numit02   1 errmax02  1.06216e-13  qqbudget02  6.43991e-17
 numit01   2 errmax01  1.18729e-12  qqbudget01  1.11022e-16
 numit01   2 errmax01  6.11746e-12  qqbudget01  -1.38778e-16
 numit01   2 errmax01  5.23599e-12  qqbudget01  1.11022e-16
 numit01   2 errmax01  1.30814e-13  qqbudget01  -1.38778e-16
 numit01   2 errmax01  5.7228e-12  qqbudget01  -2.22045e-16
 numit01   2 errmax01  1.22083e-12  qqbudget01  1.66533e-16
 numit01   1 errmax01  1.13834e-13  qqbudget01  1.66533e-16
 numit01   2 errmax01  2.79307e-12  qqbudget01  0
 numit01   2 errmax01  2.33277e-12  qqbudget01  -2.77556e-17
 numit01   2 errmax01  1.87112e-12  qqbudget01  2.22045e-16
 numit01   2 errmax01  2.05542e-13  qqbudget01  -5.55112e-17
 numit01   2 errmax01  1.32425e-12  qqbudget01  -8.32667e-17
 numit01   2 errmax01  2.55481e-12  qqbudget01  2.22045e-16
 numit01   2 errmax01  8.97138e-12  qqbudget01  -5.55112e-17
 numit01   2 errmax01  9.60994e-13  qqbudget01  8.32667e-17
 numit01   2 errmax01  5.10108e-12  qqbudget01  -1.11022e-16
 numit02   1 errmax02  1.27168e-13  qqbudget02  -7.2152e-17
 numit01   2 errmax01  4.22169e-13  qqbudget01  -1.38778e-16
 numit01   2 errmax01  1.54361e-12  qqbudget01  5.55112e-17
 numit01   2 errmax01  1.47436e-12  qqbudget01  -1.38778e-16
 numit01   2 errmax01  1.37639e-12  qqbudget01  2.77556e-17
